week,site_id,active_students,attendance_rate,engagement_rate,homework_completion_rate,sports_wellness_participation_rate,family_touchpoints,staff_coverage_rate,incident_rate_per_100,pre_post_assessment_gain,budget_utilization_rate,data_completeness_rate
2026-W21,SITE-019,283,0.683,0.679,0.623,0.556,52,0.855,3.01,0.137,0.924,0.883
2026-W08,SITE-020,189,0.609,0.629,0.725,0.602,42,0.799,2.24,0.133,0.968,0.818
2026-W09,SITE-020,180,0.635,0.598,0.622,0.485,43,0.913,1.06,0.158,0.908,0.774
2026-W10,SITE-020,165,0.635,0.622,0.706,0.708,33,0.723,2.25,0.096,0.855,0.876
2026-W11,SITE-020,179,0.641,0.613,0.789,0.702,45,0.849,2.17,0.171,0.904,0.816
2026-W12,SITE-020,199,0.721,0.569,0.677,0.446,41,0.864,1.9,0.152,0.753,0.895
2026-W13,SITE-020,177,0.609,0.644,0.689,0.602,8,0.859,1.99,0.142,0.889,0.848
2026-W14,SITE-020,190,0.659,0.601,0.729,0.657,34,0.847,0.79,0.099,0.939,0.857
2026-W15,SITE-020,212,0.711,0.593,0.762,0.56,30,0.874,2.83,0.15,0.839,0.845
2026-W16,SITE-020,164,0.68,0.626,0.747,0.565,31,0.86,2.02,0.159,0.884,0.877
2026-W17,SITE-020,177,0.611,0.618,0.668,0.647,47,0.725,2.02,0.126,0.848,0.806
2026-W18,SITE-020,204,0.674,0.598,0.635,0.419,8,0.801,2.04,0.187,0.863,0.783
2026-W19,SITE-020,215,0.701,0.576,0.556,0.457,33,0.82,2.95,0.14,0.836,0.845
2026-W20,SITE-020,187,0.66,0.648,0.837,0.622,48,0.833,1.9,0.185,0.889,0.777
2026-W21,SITE-020,192,0.619,0.659,0.727,0.585,27,0.875,1.84,0.162,0.855,0.828
2026-W08,SITE-021,199,0.739,0.561,0.678,0.558,25,0.749,1.65,0.127,0.886,0.882
2026-W09,SITE-021,210,0.801,0.682,0.681,0.567,44,0.841,2.34,0.147,0.911,0.812
2026-W10,SITE-021,186,0.774,0.685,0.746,0.51,44,0.778,2.41,0.186,0.88,0.798
2026-W11,SITE-021,193,0.766,0.621,0.703,0.615,54,0.785,1.94,0.13,0.899,0.846
2026-W12,SITE-021,201,0.758,0.612,0.705,0.527,43,0.8,2.44,0.153,0.959,0.788
2026-W13,SITE-021,224,0.877,0.576,0.764,0.479,41,0.74,2.27,0.182,0.887,0.912
2026-W14,SITE-021,178,0.769,0.587,0.784,0.718,39,0.809,1.8,0.175,0.813,0.847
2026-W15,SITE-021,186,0.745,0.65,0.789,0.509,56,0.85,1.81,0.141,0.894,0.853
2026-W16,SITE-021,179,0.768,0.631,0.814,0.433,32,0.818,2.76,0.153,0.845,0.879
2026-W17,SITE-021,196,0.809,0.703,0.715,0.435,25,0.938,1.36,0.153,1.022,0.83
2026-W18,SITE-021,172,0.731,0.634,0.654,0.661,43,0.863,0.75,0.166,0.849,0.863
2026-W19,SITE-021,216,0.826,0.662,0.688,0.647,40,0.881,2.42,0.161,0.873,0.926
2026-W20,SITE-021,198,0.805,0.621,0.739,0.609,25,0.901,1.86,0.225,0.923,0.857
2026-W21,SITE-021,181,0.695,0.645,0.759,0.625,31,0.877,1.2,0.172,0.825,0.858
2026-W08,SITE-022,337,0.803,0.631,0.762,0.517,80,0.773,1.63,0.154,0.994,0.818
2026-W09,SITE-022,315,0.793,0.719,0.85,0.491,59,0.78,2.07,0.199,0.797,0.745
2026-W10,SITE-022,284,0.733,0.598,0.696,0.632,44,0.753,1.93,0.128,0.857,0.805
2026-W11,SITE-022,326,0.788,0.652,0.728,0.56,40,0.732,2.51,0.199,0.98,0.809
2026-W12,SITE-022,353,0.86,0.662,0.859,0.754,74,0.809,1.43,0.139,0.986,0.816
2026-W13,SITE-022,303,0.718,0.668,0.772,0.508,45,0.79,2.04,0.147,0.926,0.782
2026-W14,SITE-022,348,0.82,0.543,0.774,0.656,61,0.854,1.57,0.14,1.103,0.78
2026-W15,SITE-022,337,0.79,0.688,0.738,0.56,56,0.747,1.37,0.186,0.936,0.805
2026-W16,SITE-022,319,0.772,0.756,0.738,0.545,66,0.828,0.99,0.151,0.841,0.835
2026-W17,SITE-022,294,0.769,0.598,0.792,0.556,30,0.822,2.41,0.182,0.886,0.77
2026-W18,SITE-022,332,0.816,0.542,0.798,0.593,71,0.853,1.79,0.182,1.024,0.872
2026-W19,SITE-022,312,0.736,0.675,0.854,0.581,66,0.756,1.93,0.179,0.94,0.778
2026-W20,SITE-022,308,0.767,0.671,0.644,0.548,50,0.748,2.06,0.174,0.916,0.763
2026-W21,SITE-022,285,0.747,0.619,0.761,0.584,49,0.809,2.17,0.157,0.875,0.784
2026-W08,SITE-023,234,0.758,0.703,0.681,0.732,22,0.837,1.71,0.144,0.922,0.887
2026-W09,SITE-023,253,0.731,0.701,0.665,0.724,32,0.825,2.01,0.123,0.817,0.871
2026-W10,SITE-023,202,0.627,0.749,0.804,0.772,34,0.848,1.87,0.224,0.969,0.902
2026-W11,SITE-023,238,0.771,0.737,0.764,0.722,59,0.855,1.93,0.148,0.942,0.884
2026-W12,SITE-023,241,0.763,0.771,0.755,0.7,51,0.786,2.05,0.171,0.988,0.824
2026-W13,SITE-023,228,0.694,0.791,0.821,0.871,52,0.907,1.76,0.158,0.916,0.826
2026-W14,SITE-023,205,0.665,0.847,0.79,0.828,33,0.788,1.55,0.183,0.908,0.874
2026-W15,SITE-023,262,0.862,0.766,0.795,0.738,60,0.92,1.88,0.181,0.986,0.872
2026-W16,SITE-023,217,0.746,0.715,0.738,0.787,46,0.934,2.04,0.171,0.905,0.786
2026-W17,SITE-023,197,0.725,0.818,0.816,0.654,33,0.82,2.03,0.172,0.948,0.884
2026-W18,SITE-023,204,0.735,0.753,0.787,0.828,40,0.846,2.01,0.182,0.811,0.761
2026-W19,SITE-023,223,0.726,0.675,0.669,0.867,48,0.836,2.25,0.148,0.88,0.826
2026-W20,SITE-023,210,0.762,0.736,0.769,0.829,36,0.854,2.24,0.162,0.812,0.854
2026-W21,SITE-023,249,0.818,0.684,0.661,0.687,51,0.806,1.49,0.164,0.814,0.86
2026-W08,SITE-024,195,0.682,0.779,0.737,0.717,16,0.812,1.38,0.12,0.878,0.824
2026-W09,SITE-024,202,0.757,0.686,0.67,0.86,34,0.882,1.01,0.131,0.811,0.862
2026-W10,SITE-024,191,0.739,0.85,0.721,0.677,51,0.84,2.45,0.165,0.905,0.905
2026-W11,SITE-024,193,0.778,0.757,0.788,0.733,34,0.86,2.35,0.145,0.945,0.87
2026-W12,SITE-024,193,0.679,0.705,0.688,0.838,57,0.861,1.22,0.176,0.928,0.847
2026-W13,SITE-024,198,0.681,0.738,0.736,0.833,40,0.863,0.89,0.191,0.929,0.917
2026-W14,SITE-024,200,0.674,0.754,0.822,0.837,21,0.687,1.61,0.147,0.917,0.884
2026-W15,SITE-024,204,0.753,0.74,0.7,0.73,50,0.85,1.74,0.182,1.001,0.837
2026-W16,SITE-024,191,0.686,0.766,0.666,0.93,38,0.886,1.87,0.117,0.88,0.761
2026-W17,SITE-024,204,0.773,0.766,0.758,0.811,47,0.955,1.12,0.185,0.95,0.854
2026-W18,SITE-024,203,0.686,0.592,0.696,0.731,25,0.912,1.09,0.143,0.898,0.841
2026-W19,SITE-024,230,0.868,0.749,0.803,0.829,40,0.926,1.63,0.16,0.92,0.858
2026-W20,SITE-024,203,0.741,0.734,0.724,0.807,41,0.97,1.62,0.136,0.957,0.802
2026-W21,SITE-024,207,0.816,0.644,0.625,0.828,27,0.866,1.85,0.163,0.894,0.798
2026-W08,SITE-025,200,0.773,0.767,0.622,0.76,24,0.876,1.52,0.148,0.868,0.882
2026-W09,SITE-025,211,0.718,0.625,0.728,0.647,25,0.755,2.3,0.147,0.935,0.9
2026-W10,SITE-025,190,0.722,0.778,0.795,0.849,35,0.922,2.13,0.164,0.897,0.83
2026-W11,SITE-025,206,0.7,0.785,0.865,0.849,31,0.872,1.71,0.191,0.877,0.888
2026-W12,SITE-025,187,0.681,0.746,0.761,0.841,56,0.99,0.1,0.151,0.888,0.814
2026-W13,SITE-025,207,0.732,0.807,0.866,0.87,32,0.822,3.1,0.207,1.006,0.807
2026-W14,SITE-025,185,0.736,0.694,0.769,0.73,49,0.919,1.2,0.171,0.874,0.802
2026-W15,SITE-025,237,0.796,0.729,0.821,0.679,52,0.793,2.03,0.177,0.856,0.805
2026-W16,SITE-025,197,0.688,0.72,0.83,0.738,27,0.941,0.72,0.17,0.972,0.811
2026-W17,SITE-025,198,0.714,0.773,0.795,0.828,34,0.792,2.05,0.136,0.952,0.85
2026-W18,SITE-025,185,0.692,0.826,0.751,0.769,53,0.91,0.87,0.16,0.966,0.879
2026-W19,SITE-025,222,0.796,0.821,0.893,0.825,45,0.724,2.15,0.121,0.827,0.786
2026-W20,SITE-025,199,0.769,0.683,0.748,0.755,34,0.897,1.61,0.138,0.836,0.887
2026-W21,SITE-025,206,0.779,0.722,0.785,0.74,41,0.904,1.84,0.186,0.894,0.895
2026-W08,SITE-026,68,0.652,0.627,0.705,0.639,36,0.799,3.12,0.138,0.816,0.803
2026-W09,SITE-026,69,0.709,0.772,0.846,0.884,22,0.815,2.15,0.162,0.954,0.806
2026-W10,SITE-026,61,0.78,0.72,0.671,0.644,8,0.779,2.59,0.134,1.032,0.837
2026-W11,SITE-026,62,0.74,0.72,0.738,0.758,8,0.84,2.61,0.219,0.95,0.794
2026-W12,SITE-026,69,0.741,0.682,0.617,0.873,8,0.802,2.76,0.162,0.856,0.838
2026-W13,SITE-026,67,0.714,0.688,0.719,0.807,25,0.759,2.19,0.163,0.879,0.843
2026-W14,SITE-026,58,0.723,0.698,0.68,0.665,9,0.778,2.71,0.153,0.917,0.813
2026-W15,SITE-026,64,0.711,0.658,0.738,0.874,8,0.909,1.91,0.173,0.902,0.816
2026-W16,SITE-026,69,0.718,0.711,0.62,0.69,15,0.838,2.6,0.143,0.914,0.771
2026-W17,SITE-026,62,0.679,0.762,0.86,0.872,18,0.698,2.4,0.192,0.976,0.792
2026-W18,SITE-026,54,0.631,0.737,0.774,0.804,8,0.78,2.7,0.181,0.932,0.823
2026-W19,SITE-026,67,0.692,0.815,0.77,0.754,8,0.828,2.62,0.162,0.919,0.835
2026-W20,SITE-026,66,0.751,0.723,0.719,0.851,8,0.96,1.33,0.175,0.929,0.831
2026-W21,SITE-026,77,0.837,0.827,0.824,0.722,32,0.849,2.95,0.177,1.003,0.842
2026-W08,SITE-027,119,0.646,0.628,0.742,0.75,43,0.731,3.01,0.15,0.987,0.854
2026-W09,SITE-027,156,0.777,0.601,0.819,0.826,26,0.81,1.9,0.2,0.945,0.822
2026-W10,SITE-027,131,0.649,0.622,0.687,0.844,9,0.867,2.53,0.149,0.864,0.788
2026-W11,SITE-027,129,0.696,0.693,0.632,0.827,57,0.861,1.26,0.12,0.952,0.91
2026-W12,SITE-027,126,0.622,0.729,0.625,0.672,23,0.836,1.44,0.174,0.962,0.818
2026-W13,SITE-027,155,0.764,0.696,0.699,0.721,26,0.831,2.7,0.161,0.844,0.819
2026-W14,SITE-027,146,0.764,0.735,0.763,0.649,32,0.768,2.17,0.153,0.99,0.817
2026-W15,SITE-027,126,0.675,0.754,0.837,0.895,9,0.831,2.22,0.188,0.882,0.799
2026-W16,SITE-027,120,0.66,0.638,0.794,0.768,8,0.754,0.67,0.154,0.88,0.839
2026-W17,SITE-027,138,0.69,0.734,0.753,0.811,25,0.696,3.06,0.145,0.926,0.844
2026-W18,SITE-027,158,0.761,0.719,0.807,0.86,32,0.795,1.65,0.172,0.908,0.8
2026-W19,SITE-027,143,0.663,0.672,0.647,0.58,27,0.864,3.15,0.158,0.912,0.775
2026-W20,SITE-027,133,0.744,0.695,0.681,0.737,45,0.827,3.14,0.143,0.827,0.87
2026-W21,SITE-027,142,0.749,0.746,0.818,0.713,25,0.942,1.64,0.162,0.864,0.813
2026-W08,SITE-028,102,0.747,0.582,0.639,0.67,12,0.739,2.67,0.143,0.907,0.809
2026-W09,SITE-028,91,0.666,0.611,0.744,0.516,8,0.78,2.31,0.174,1.046,0.78
2026-W10,SITE-028,95,0.714,0.606,0.758,0.721,18,0.844,1.22,0.163,0.914,0.771
2026-W11,SITE-028,98,0.763,0.638,0.641,0.585,25,0.789,1.94,0.175,0.927,0.854
2026-W12,SITE-028,90,0.714,0.667,0.675,0.511,13,0.956,1.42,0.149,0.83,0.805
2026-W13,SITE-028,90,0.715,0.636,0.725,0.561,34,0.772,2.15,0.158,0.973,0.858
2026-W14,SITE-028,101,0.722,0.671,0.925,0.49,14,0.86,2.72,0.11,0.887,0.877
2026-W15,SITE-028,83,0.697,0.725,0.765,0.574,32,0.782,1.98,0.149,0.955,0.819
2026-W16,SITE-028,87,0.74,0.729,0.734,0.479,8,0.793,2.82,0.2,0.958,0.854
2026-W17,SITE-028,104,0.8,0.588,0.685,0.506,17,0.816,1.16,0.189,0.91,0.825
2026-W18,SITE-028,82,0.718,0.67,0.668,0.662,8,0.748,2.67,0.152,0.91,0.797
2026-W19,SITE-028,107,0.809,0.74,0.719,0.469,27,0.793,1.63,0.185,0.906,0.848
2026-W20,SITE-028,93,0.764,0.725,0.875,0.551,9,0.867,3.6,0.195,0.796,0.797
2026-W21,SITE-028,98,0.756,0.696,0.712,0.495,16,0.744,2.1,0.193,0.99,0.785
